90,10,21,50,-20,-69,44,95,-37,11,-240,-198,106,33,20,
90,9,21,47,-19,-67,43,96,-36,11,-237,-196,105,33,18,
20,5,7,10,-4,-14,11,21,-9,3,-54,-43,24,8,6,
114,12,24,61,-26,-83,53,115,-45,9,-295,-247,131,43,23,
129,11,27,69,-29,-98,61,135,-50,14,-338,-283,150,48,25,
139,14,27,72,-33,-104,64,143,-55,16,-358,-304,158,51,26,
90,10,18,47,-20,-68,43,95,-36,11,-236,-197,105,32,18,
49,4,10,26,-12,-35,22,49,-20,4,-125,-106,56,16,10,
96,10,21,51,-24,-72,47,102,-38,12,-254,-212,110,37,19,
83,7,17,44,-19,-62,38,84,-34,8,-213,-182,95,29,16,
92,9,18,50,-23,-70,43,99,-37,8,-244,-205,106,35,18,
69,6,15,38,-16,-52,32,71,-28,8,-180,-151,80,24,14,
91,10,20,49,-20,-68,45,92,-38,10,-239,-201,109,33,18,
90,10,20,48,-20,-69,43,95,-35,11,-238,-196,106,34,18,
91,9,19,49,-21,-69,44,94,-38,11,-239,-201,106,34,18,
96,10,21,53,-25,-72,46,104,-38,11,-255,-213,111,37,19,
90,10,18,50,-20,-70,44,96,-37,11,-243,-202,109,33,20,
134,15,29,72,-31,-99,64,141,-53,15,-352,-295,156,50,26,
49,7,9,26,-11,-39,24,52,-19,4,-131,-106,55,18,11,
20,4,4,9,-3,-13,10,22,-11,1,-54,-44,23,6,5,
85,8,17,45,-19,-62,39,90,-33,10,-222,-187,99,34,17,
106,10,21,55,-25,-80,49,112,-41,12,-279,-232,120,40,21,
90,8,19,48,-22,-67,42,94,-35,10,-233,-196,102,35,17,
137,14,28,72,-29,-104,63,141,-55,16,-355,-301,158,51,25,
92,8,20,50,-21,-70,46,95,-36,10,-240,-202,106,34,18,
89,11,18,47,-19,-69,43,94,-36,11,-236,-199,103,33,18,
91,9,19,49,-21,-69,44,94,-38,11,-239,-200,106,34,18,
